message,label
"Win a free iPhone now","spam"
"Your Amazon order has been shipped","ham"
"Claim your lottery prize now","spam"
"Meeting scheduled for 3 PM","ham"
"Exclusive deal just for you","spam"
"Please find attached report","ham"
"Free vacation to Bahamas","spam"
"Let's catch up tomorrow","ham"
"Get 50% discount on all items","spam"
"Project deadline extended","ham"
"Earn money from home easily","spam"
"Call me when you're free","ham"
"Congratulations! You won","spam"
"Update your account details","spam"
"See you at the party","ham"
"Important notice from your bank","spam"
"Can you send the files?","ham"
"Limited time offer only","spam"
"Your subscription is expiring","spam"
"Happy birthday!","ham"
"Buy 1 get 1 free","spam"
"Don't forget the meeting","ham"
"Urgent: Verify your account","spam"
"Lunch at 1 PM?","ham"
"You have been selected","spam"
"Let's go for a walk","ham"
"Lowest prices guaranteed","spam"
"Attached is your invoice","ham"
"Join our webinar now","spam"
"Final reminder for payment","spam"
"Family dinner tonight","ham"
"Special discount coupon","spam"
"Looking forward to our trip","ham"
"Act now to claim rewards","spam"
"Can you review this?","ham"
"Click here to win","spam"
"Meeting agenda attached","ham"
"Don't miss this chance","spam"
"How was your weekend?","ham"
"Get your free trial today","spam"
"Your appointment is confirmed","ham"
"Hot singles in your area","spam"
"Please approve the request","ham"
"Congratulations! Claim your gift","spam"
"Can we reschedule?","ham"
"Free cash prize","spam"
"Report is ready for review","ham"
"Earn rewards for surveys","spam"
"Happy anniversary!","ham"
"Sign up and get bonus","spam"
